,PC1,PC2,PC3,PC4,PC5
VIX,-0.17733973313714896,0.5343965984775549,-0.24879035920491285,0.45228442870614843,0.37366187615504376
2Y,0.4580580074512045,0.2817450216743397,0.13881121194441653,0.009025055394474096,0.052625229194984635
10Y,0.3706103036456857,0.34631250989504253,0.4288256136129701,-0.016642108601195617,0.07241889103018259
YieldCurve,-0.35121088194670624,0.035205671229264705,0.5659479173698002,-0.05754497455980525,0.022822340912088162
CreditSpread,-0.40088229155721494,0.3044043349906849,-0.11830145170418664,0.20619330037155525,0.1799865335831089
FedFundsRate,0.4590583748211364,0.2705618750737725,0.02484767534296497,0.02721788476576979,0.04852199800242623
Inflation_YoY,0.1430433668686344,-0.3386835624949002,0.21052218204265988,0.8646429858539315,-0.26151881858441745
UnemploymentRate,-0.3076575701939188,0.1822701974383034,0.5703805446387303,-0.019784257129635108,-0.05897150978619162
GDP_YoY,0.10712894853502025,-0.44729578213733073,0.17429904549312225,0.02266185922395151,0.8632628594675295
